household_type,income_group,year,market_income,social_insurance_benefits,inc_before_transfers_taxes,means_tested_transfers,federal_taxes,inc_after_transfers_taxes
all_households,highest_quintile,1996,214900.0,4600.0,219400.0,300.0,61600.0,158100.0
all_households,highest_quintile,1997,228800.0,4600.0,233400.0,300.0,65500.0,168100.0
all_households,highest_quintile,1998,244400.0,4700.0,249100.0,300.0,68900.0,180500.0
all_households,highest_quintile,1999,260200.0,4500.0,264700.0,300.0,74300.0,190700.0
all_households,highest_quintile,2000,273400.0,4900.0,278200.0,400.0,78000.0,200600.0
all_households,highest_quintile,2001,248400.0,4600.0,253000.0,400.0,68100.0,185300.0
all_households,highest_quintile,2002,236100.0,4600.0,240700.0,400.0,63100.0,178000.0
all_households,highest_quintile,2003,243900.0,4700.0,248600.0,400.0,62300.0,186700.0
all_households,highest_quintile,2004,265600.0,4900.0,270500.0,500.0,68500.0,202400.0
all_households,highest_quintile,2005,287900.0,5400.0,293200.0,500.0,75600.0,218200.0
all_households,highest_quintile,2006,300500.0,5700.0,306200.0,500.0,79000.0,227700.0
all_households,highest_quintile,2007,312100.0,6100.0,318200.0,600.0,79800.0,239000.0
all_households,highest_quintile,2008,282800.0,5600.0,288400.0,600.0,69500.0,219500.0
all_households,highest_quintile,2009,255200.0,6200.0,261400.0,600.0,62000.0,200100.0
all_households,highest_quintile,2010,266800.0,6500.0,273400.0,600.0,66600.0,207400.0
all_households,highest_quintile,2011,269900.0,6400.0,276300.0,600.0,66000.0,210800.0
all_households,highest_quintile,2012,292800.0,6900.0,299700.0,600.0,72900.0,227400.0
all_households,highest_quintile,2013,281300.0,7000.0,288300.0,500.0,77000.0,211900.0
all_households,highest_quintile,2014,297300.0,7200.0,304500.0,700.0,82600.0,222600.0
all_households,highest_quintile,2015,308400.0,7400.0,315800.0,900.0,85600.0,231100.0
all_households,highest_quintile,2016,303900.0,7500.0,311400.0,1000.0,83700.0,228700.0
all_households,highest_quintile,2017,317200.0,7700.0,324900.0,1000.0,86000.0,239900.0
all_households,highest_quintile,2018,322700.0,8100.0,330800.0,900.0,82200.0,249500.0
all_households,highest_quintile,2019,328000.0,8300.0,336300.0,1000.0,83700.0,253700.0
all_households,percentiles_81_90,1979,104800.0,2000.0,106800.0,200.0,25500.0,81400.0
all_households,percentiles_81_90,1980,102000.0,2300.0,104300.0,100.0,25400.0,79000.0
all_households,percentiles_81_90,1981,102000.0,2500.0,104500.0,100.0,26100.0,78500.0
all_households,percentiles_81_90,1982,101400.0,2800.0,104200.0,100.0,24300.0,80100.0
all_households,percentiles_81_90,1983,102800.0,2800.0,105600.0,100.0,23900.0,81700.0
all_households,percentiles_81_90,1984,109500.0,3000.0,112600.0,100.0,25700.0,87000.0
all_households,percentiles_81_90,1985,108600.0,2900.0,111500.0,200.0,25700.0,86000.0
all_households,percentiles_81_90,1986,114200.0,2800.0,117100.0,100.0,27100.0,90100.0
all_households,percentiles_81_90,1987,115300.0,2700.0,118000.0,100.0,27600.0,90500.0
all_households,percentiles_81_90,1988,116700.0,2700.0,119400.0,100.0,28200.0,91400.0
all_households,percentiles_81_90,1989,118500.0,2900.0,121400.0,200.0,28600.0,92900.0
all_households,percentiles_81_90,1990,116700.0,3100.0,119900.0,200.0,28300.0,91800.0
all_households,percentiles_81_90,1991,115100.0,3200.0,118300.0,200.0,27800.0,90700.0
all_households,percentiles_81_90,1992,116000.0,3400.0,119400.0,300.0,27900.0,91700.0
all_households,percentiles_81_90,1993,117600.0,3500.0,121000.0,300.0,28300.0,93000.0
all_households,percentiles_81_90,1994,120000.0,3300.0,123300.0,300.0,29400.0,94300.0
all_households,percentiles_81_90,1995,123500.0,3600.0,127200.0,300.0,30500.0,97000.0
all_households,percentiles_81_90,1996,125800.0,4000.0,129800.0,300.0,31000.0,99100.0
all_households,percentiles_81_90,1997,129400.0,3700.0,133100.0,300.0,32200.0,101200.0
all_households,percentiles_81_90,1998,134600.0,3900.0,138500.0,300.0,33300.0,105500.0
all_households,percentiles_81_90,1999,139900.0,3800.0,143600.0,300.0,34800.0,109100.0
all_households,percentiles_81_90,2000,143100.0,4000.0,147100.0,400.0,35600.0,111900.0
all_households,percentiles_81_90,2001,140900.0,4100.0,145000.0,400.0,33500.0,111900.0
all_households,percentiles_81_90,2002,138600.0,4200.0,142800.0,400.0,31900.0,111300.0
all_households,percentiles_81_90,2003,140600.0,4200.0,144800.0,400.0,30800.0,114400.0
all_households,percentiles_81_90,2004,145300.0,4400.0,149700.0,500.0,32100.0,118200.0
all_households,percentiles_81_90,2005,147900.0,4700.0,152700.0,500.0,32900.0,120300.0
all_households,percentiles_81_90,2006,151700.0,5000.0,156700.0,600.0,34000.0,123300.0
all_households,percentiles_81_90,2007,154400.0,5300.0,159700.0,600.0,34400.0,126000.0
all_households,percentiles_81_90,2008,151500.0,5100.0,156700.0,600.0,31400.0,125900.0
all_households,percentiles_81_90,2009,147100.0,5900.0,153000.0,700.0,30100.0,123600.0
all_households,percentiles_81_90,2010,146600.0,6100.0,152800.0,700.0,30700.0,122700.0
all_households,percentiles_81_90,2011,148600.0,6100.0,154700.0,700.0,30300.0,125000.0
all_households,percentiles_81_90,2012,150100.0,6500.0,156600.0,700.0,31200.0,126100.0
all_households,percentiles_81_90,2013,152400.0,6600.0,159000.0,600.0,34500.0,125100.0
all_households,percentiles_81_90,2014,156000.0,6600.0,162600.0,800.0,35700.0,127700.0
all_households,percentiles_81_90,2015,162200.0,6900.0,169100.0,1000.0,37500.0,132600.0
all_households,percentiles_81_90,2016,162900.0,6900.0,169800.0,1100.0,37400.0,133500.0
all_households,percentiles_81_90,2017,165700.0,7200.0,172900.0,1100.0,38000.0,136000.0
all_households,percentiles_81_90,2018,168800.0,7400.0,176200.0,1000.0,36600.0,140600.0
all_households,percentiles_81_90,2019,173400.0,7800.0,181200.0,1100.0,37800.0,144500.0
all_households,percentiles_91_95,1979,129600.0,2000.0,131600.0,100.0,33500.0,98200.0
all_households,percentiles_91_95,1980,127300.0,2300.0,129600.0,100.0,33600.0,96200.0
all_households,percentiles_91_95,1981,126800.0,2500.0,129300.0,100.0,34200.0,95200.0
all_households,percentiles_91_95,1982,125900.0,2700.0,128600.0,100.0,31200.0,97500.0
all_households,percentiles_91_95,1983,129200.0,2700.0,132000.0,100.0,31100.0,101000.0
all_households,percentiles_91_95,1984,139300.0,3100.0,142300.0,100.0,33500.0,109000.0
all_households,percentiles_91_95,1985,138800.0,2800.0,141600.0,100.0,33700.0,108100.0
all_households,percentiles_91_95,1986,144800.0,3100.0,147900.0,100.0,35300.0,112700.0
all_households,percentiles_91_95,1987,148900.0,2900.0,151800.0,100.0,37600.0,114300.0
all_households,percentiles_91_95,1988,150700.0,2800.0,153500.0,100.0,38100.0,115500.0
all_households,percentiles_91_95,1989,153900.0,3100.0,157100.0,200.0,38600.0,118600.0
all_households,percentiles_91_95,1990,150300.0,3400.0,153700.0,200.0,37700.0,116100.0
all_households,percentiles_91_95,1991,148900.0,3300.0,152200.0,100.0,37600.0,114700.0
all_households,percentiles_91_95,1992,150800.0,3500.0,154300.0,200.0,37800.0,116700.0
all_households,percentiles_91_95,1993,152400.0,3600.0,156000.0,200.0,38900.0,117200.0
all_households,percentiles_91_95,1994,154600.0,3600.0,158200.0,300.0,40000.0,118500.0
all_households,percentiles_91_95,1995,159900.0,3900.0,163800.0,300.0,41900.0,122200.0
all_households,percentiles_91_95,1996,166100.0,4300.0,170400.0,200.0,43500.0,127100.0
all_households,percentiles_91_95,1997,171900.0,4600.0,176500.0,200.0,45300.0,131400.0
all_households,percentiles_91_95,1998,179500.0,4500.0,184000.0,300.0,47000.0,137200.0
all_households,percentiles_91_95,1999,186900.0,4400.0,191300.0,300.0,49600.0,142000.0
all_households,percentiles_91_95,2000,192500.0,4800.0,197300.0,300.0,50900.0,146700.0
all_households,percentiles_91_95,2001,187400.0,4100.0,191500.0,400.0,47800.0,144000.0
all_households,percentiles_91_95,2002,183700.0,4200.0,187900.0,400.0,45600.0,142700.0
